[༄༅། །​སྒྲོལ་མའི་སྒྲུབ་ཐབས།༄༅༅། །​_50_],སྒྲོལ་མའི་སྒྲུབ་ཐབས།༄། །​_25_,༄༅༅། །​_25_,༄༅། །​སྒྲོལ་མའི་སྒྲུབ་ཐབས།༄༅༅། །​_50_
[། _100_],། _100_,། _100_,། _100_
[ཨོཾ་_100_],ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_
[ཨཱཿཧཱུཾ་པུཥྤཾ་པྲ་ཏཱིཙྪ་སྭཱ་ཧཱ། ཨོཾ་ཨཱཿཧཱུཾ་_75_],ཨཱཿ་ཧཱུཾ་པུ་ཥྤཾ་པྲ་ཏཱིཙྪ་སྭཱཧཱ། ཨོཾ་ཨཱཿ་ཧཱུཾ་_25_,ཨཱཿཧཱུཾ་པུཥྤཾ་པྲ་ཏཱིཙྪ་སྭཱ་ཧཱ། ཨོཾ་ཨཱཿཧཱུཾ་_75_,ཨཱཿཧཱུཾ་པུཥྤཾ་པྲ་ཏཱིཙྪ་སྭཱ་ཧཱ། ཨོཾ་ཨཱཿཧཱུཾ་_75_
[དྷཱུ་_100_],དྷཱུ་_100_,དྷཱུ་_100_,དྷཱུ་_100_
[པཾ་_100_],པཾ་_100_,པཾ་_100_,པཾ་_100_
[པྲ་_100_],པྲ་_100_,པྲ་_100_,པྲ་_100_
[ཏཱིཙྪ་_100_],ཏཱིཙྪ་_100_,ཏཱིཙྪ་_100_,ཏཱིཙྪ་_100_
[སྭཱ་_100_],སྭཱ་_100_,སྭཱ་_100_,སྭཱ་_100_
[ཧཱ_100_],ཧཱ_100_,ཧཱ_100_,ཧཱ_100_
[། _100_],། _100_,། _100_,། _100_
[ཨོཾ་_100_],ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_
[ཨཱཿཧཱུཾ་_75_],ཨཱཿ་ཧཱུཾ་_25_,ཨཱཿཧཱུཾ་_75_,ཨཱཿཧཱུཾ་_75_
[དཱི་_100_],དཱི་_100_,དཱི་_100_,དཱི་_100_
[པཾ་_100_],པཾ་_100_,པཾ་_100_,པཾ་_100_
[པྲ་_100_],པྲ་_100_,པྲ་_100_,པྲ་_100_
[ཏཱིཙྪ་_100_],ཏཱིཙྪ་_100_,ཏཱིཙྪ་_100_,ཏཱིཙྪ་_100_
[སྭཱ་ཧཱ། ཨོཾ་ཨཱཿཧཱུཾ་གནྡྷཾ་_75_],སྭཱཧཱ། ཨོཾ་ཨཱཿ་ཧཱུཾ་གནྡྷ་_25_,སྭཱ་ཧཱ། ཨོཾ་ཨཱཿཧཱུཾ་གནྡྷཾ་_75_,སྭཱ་ཧཱ། ཨོཾ་ཨཱཿཧཱུཾ་གནྡྷཾ་_75_
[པྲ་_100_],པྲ་_100_,པྲ་_100_,པྲ་_100_
ཏཱིཙྪ་སྭཱ་ཧཱ། ཨོཾ་ཨཱཿཧཱུཾ་_25_,ཏཱི་སྭཱཧཱ། ཨོཾ་ཨཱཿ་ཧཱུཾ་_25_,[ཏཱི་ཙྪ་སྭཱ་ཧཱ། ཨོཾ་ཨཱཿཧཱུཾ་_50_],ཏཱི་ཙྪ་སྭཱ་ཧཱ། ཨོཾ་ཨཱཿཧཱུཾ་_50_
[ནཻ་_100_],ནཻ་_100_,ནཻ་_100_,ནཻ་_100_
[ཝི་_75_],ཝྸི་_25_,ཝི་_75_,ཝི་_75_
[དྱཾ་_100_],དྱཾ་_100_,དྱཾ་_100_,དྱཾ་_100_
[པྲ་_100_],པྲ་_100_,པྲ་_100_,པྲ་_100_
[ཏཱིཙྪ་_100_],ཏཱིཙྪ་_100_,ཏཱིཙྪ་_100_,ཏཱིཙྪ་_100_
[སྭཱ་_100_],སྭཱ་_100_,སྭཱ་_100_,སྭཱ་_100_
[ཧཱ་_100_],ཧཱ་_100_,ཧཱ་_100_,ཧཱ་_100_
[ཞེས་_100_],ཞེས་_100_,ཞེས་_100_,ཞེས་_100_
[མཆོད་_100_],མཆོད་_100_,མཆོད་_100_,མཆོད་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[བྱས་_100_],བྱས་_100_,བྱས་_100_,བྱས་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_
[སྙིང་_100_],སྙིང་_100_,སྙིང་_100_,སྙིང་_100_
[གར་ཨུཏྤ་ལའི་_75_],གར་ཨུཏྤལའི་_25_,གར་ཨུཏྤ་ལའི་_75_,གར་ཨུཏྤ་ལའི་_75_
[ཕྱག་_100_],ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_
[རྒྱ་_100_],རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_
[བྱས་_100_],བྱས་_100_,བྱས་_100_,བྱས་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_
[ཛཿཧཱུཾ་_100_],ཛཿཧཱུཾ་_100_,ཛཿཧཱུཾ་_100_,ཛཿཧཱུཾ་_100_
[བཾ་_100_],བཾ་_100_,བཾ་_100_,བཾ་_100_
[ཧོཿ_100_],ཧོཿ_100_,ཧོཿ_100_,ཧོཿ_100_
[། _100_],། _100_,། _100_,། _100_
[ཞེས་_100_],ཞེས་_100_,ཞེས་_100_,ཞེས་_100_
[བྱ་_100_],བྱ་_100_,བྱ་_100_,བྱ་_100_
[བས་_100_],བས་_100_,བས་_100_,བས་_100_
[དགུག་_100_],དགུག་_100_,དགུག་_100_,དགུག་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_
[གཞུག་_100_],གཞུག་_100_,གཞུག་_100_,གཞུག་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_
[བཅིང་_100_],བཅིང་_100_,བཅིང་_100_,བཅིང་_100_
[བ་_75_],བ་_75_,བ་_75_,པ་_25_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_
[དགྱེས་_100_],དགྱེས་_100_,དགྱེས་_100_,དགྱེས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[བྱས་_100_],བྱས་_100_,བྱས་_100_,བྱས་_100_
[སོ_100_],སོ_100_,སོ_100_,སོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[དེ་_100_],དེ་_100_,དེ་_100_,དེ་_100_
[ནས་_100_],ནས་_100_,ནས་_100_,ནས་_100_
[བདག་_100_],བདག་_100_,བདག་_100_,བདག་_100_
[གི་_100_],གི་_100_,གི་_100_,གི་_100_
[ཐུགས་_100_],ཐུགས་_100_,ཐུགས་_100_,ཐུགས་_100_
[ཀ་_100_],ཀ་_100_,ཀ་_100_,ཀ་_100_
[ནས་_100_],ནས་_100_,ནས་_100_,ནས་_100_
[སྣ་_100_],སྣ་_100_,སྣ་_100_,སྣ་_100_
[ཚོགས་_100_],ཚོགས་_100_,ཚོགས་_100_,ཚོགས་_100_
[པདྨ་_100_],པདྨ་_100_,པདྨ་_100_,པདྨ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_
[ཟླ་_100_],ཟླ་_100_,ཟླ་_100_,ཟླ་_100_
[བའི་_100_],བའི་_100_,བའི་_100_,བའི་_100_
[དཀྱིལ་_100_],དཀྱིལ་_100_,དཀྱིལ་_100_,དཀྱིལ་_100_
[འཁོར་_100_],འཁོར་_100_,འཁོར་_100_,འཁོར་_100_
[གྱི་_100_],གྱི་_100_,གྱི་_100_,གྱི་_100_
[ཏཱཾ་_100_],ཏཱཾ་_100_,ཏཱཾ་_100_,ཏཱཾ་_100_
[ལྗང་_100_],ལྗང་_100_,ལྗང་_100_,ལྗང་_100_
[གུ་_100_],གུ་_100_,གུ་_100_,གུ་_100_
[ལས་_100_],ལས་_100_,ལས་_100_,ལས་_100_
[འོད་_100_],འོད་_100_,འོད་_100_,འོད་_100_
[ཟེར་_100_],ཟེར་_100_,ཟེར་_100_,ཟེར་_100_
[འཕྲོས་_100_],འཕྲོས་_100_,འཕྲོས་_100_,འཕྲོས་_100_
[ཏེ་_100_],ཏེ་_100_,ཏེ་_100_,ཏེ་_100_
[ཕྱོགས་_100_],ཕྱོགས་_100_,ཕྱོགས་_100_,ཕྱོགས་_100_
[བཅུའི་_100_],བཅུའི་_100_,བཅུའི་_100_,བཅུའི་_100_
[སངས་_100_],སངས་_100_,སངས་_100_,སངས་_100_
[རྒྱས་_100_],རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_
[བྱང་_100_],བྱང་_100_,བྱང་_100_,བྱང་_100_
[ཆུབ་_100_],ཆུབ་_100_,ཆུབ་_100_,ཆུབ་_100_
[སེམས་_100_],སེམས་_100_,སེམས་_100_,སེམས་_100_
[དཔའ་_100_],དཔའ་_100_,དཔའ་_100_,དཔའ་_100_
[ཐམས་_100_],ཐམས་_100_,ཐམས་_100_,ཐམས་_100_
[ཅད་_100_],ཅད་_100_,ཅད་_100_,ཅད་_100_
[སྤྱན་_100_],སྤྱན་_100_,སྤྱན་_100_,སྤྱན་_100_
[དྲངས་_100_],དྲངས་_100_,དྲངས་_100_,དྲངས་_100_
[ནས_100_],ནས_100_,ནས_100_,ནས_100_
[། _100_],། _100_,། _100_,། _100_
[དེ་_100_],དེ་_100_,དེ་_100_,དེ་_100_
[རྣམས་_100_],རྣམས་_100_,རྣམས་_100_,རྣམས་_100_
[ཀྱི་_100_],ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_
[ཕྱག་_100_],ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_
[ན་_100_],ན་_100_,ན་_100_,ན་_100_
[རིན་_100_],རིན་_100_,རིན་_100_,རིན་_100_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_
[ཆེའི་_100_],ཆེའི་_100_,ཆེའི་_100_,ཆེའི་_100_
[བུམ་_100_],བུམ་_100_,བུམ་_100_,བུམ་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[བདུད་_100_],བདུད་_100_,བདུད་_100_,བདུད་_100_
[རྩིས་_100_],རྩིས་_100_,རྩིས་_100_,རྩིས་_100_
[བཀང་_100_],བཀང་_100_,བཀང་_100_,བཀང་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_
[ཐོགས་_100_],ཐོགས་_100_,ཐོགས་_100_,ཐོགས་_100_
[ནས་_100_],ནས་_100_,ནས་_100_,ནས་_100_
[བྱོན་_100_],བྱོན་_100_,བྱོན་_100_,བྱོན་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_
[སྔ་_100_],སྔ་_100_,སྔ་_100_,སྔ་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_
[ལྟར་_100_],ལྟར་_100_,ལྟར་_100_,ལྟར་_100_
[མཆོད་_100_],མཆོད་_100_,མཆོད་_100_,མཆོད་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[དབུལ་_100_],དབུལ་_100_,དབུལ་_100_,དབུལ་_100_
[བར་_100_],བར་_100_,བར་_100_,བར་_100_
[བྱའོ_100_],བྱའོ_100_,བྱའོ_100_,བྱའོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[ཨ་_100_],ཨ་_100_,ཨ་_100_,ཨ་_100_
[བྷི་_100_],བྷི་_100_,བྷི་_100_,བྷི་_100_
[ཥིཉྩ་_100_],ཥིཉྩ་_100_,ཥིཉྩ་_100_,ཥིཉྩ་_100_
[ཏུ་_100_],ཏུ་_100_,ཏུ་_100_,ཏུ་_100_
[མཱཾ་_100_],མཱཾ་_100_,མཱཾ་_100_,མཱཾ་_100_
[སརྦ་_100_],སརྦ་_100_,སརྦ་_100_,སརྦ་_100_
[ཏ་_100_],ཏ་_100_,ཏ་_100_,ཏ་_100_
[ཐཱ་_100_],ཐཱ་_100_,ཐཱ་_100_,ཐཱ་_100_
[ག་_100_],ག་_100_,ག་_100_,ག་_100_
[ཏཱ་_100_],ཏཱ་_100_,ཏཱ་_100_,ཏཱ་_100_
[ཞེས་_100_],ཞེས་_100_,ཞེས་_100_,ཞེས་_100_
[བརྗོད་_100_],བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_
[པས་_100_],པས་_100_,པས་_100_,པས་_100_
[བདུད་_100_],བདུད་_100_,བདུད་_100_,བདུད་_100_
[རྩིའི་_100_],རྩིའི་_100_,རྩིའི་_100_,རྩིའི་_100_
[བུམ་_100_],བུམ་_100_,བུམ་_100_,བུམ་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[ཆུས་_100_],ཆུས་_100_,ཆུས་_100_,ཆུས་_100_
[བཀང་_100_],བཀང་_100_,བཀང་_100_,བཀང་_100_
[བས་_100_],བས་_100_,བས་_100_,བས་_100_
[དབང་_100_],དབང་_100_,དབང་_100_,དབང་_100_
[བསྐུར་_100_],བསྐུར་_100_,བསྐུར་_100_,བསྐུར་_100_
[བར་_100_],བར་_100_,བར་_100_,བར་_100_
[བསམས་_100_],བསམས་_100_,བསམས་_100_,བསམས་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_
[རིགས་_100_],རིགས་_100_,རིགས་_100_,རིགས་_100_
[ཀྱི་_100_],ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_
[བདག་_100_],བདག་_100_,བདག་_100_,བདག་_100_
[པོས་_100_],པོས་_100_,པོས་_100_,པོས་_100_
[དབུ་_100_],དབུ་_100_,དབུ་_100_,དབུ་_100_
[བརྒྱན་_100_],བརྒྱན་_100_,བརྒྱན་_100_,བརྒྱན་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_
[གཙོ་_100_],གཙོ་_100_,གཙོ་_100_,གཙོ་_100_
[མོའི་_100_],མོའི་_100_,མོའི་_100_,མོའི་_100_
[སྤྱི་_100_],སྤྱི་_100_,སྤྱི་_100_,སྤྱི་_100_
[བོར་_100_],བོར་_100_,བོར་_100_,བོར་_100_
[དོན་_100_],དོན་_100_,དོན་_100_,དོན་_100_
[ཡོད་_100_],ཡོད་_100_,ཡོད་_100_,ཡོད་_100_
[གྲུབ་_100_],གྲུབ་_100_,གྲུབ་_100_,གྲུབ་_100_
[པའོ_100_],པའོ_100_,པའོ_100_,པའོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[སོ་_100_],སོ་_100_,སོ་_100_,སོ་_100_
[སོར་_100_],སོར་_100_,སོར་_100_,སོར་_100_
[འབྲང་_100_],འབྲང་_100_,འབྲང་_100_,འབྲང་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_
[རྣམ་_100_],རྣམ་_100_,རྣམ་_100_,རྣམ་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_
[སྣང་_100_],སྣང་_100_,སྣང་_100_,སྣང་_100_
[མཛད་_100_],མཛད་_100_,མཛད་_100_,མཛད་_100_
[དོ_100_],དོ_100_,དོ_100_,དོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[འོད་_100_],འོད་_100_,འོད་_100_,འོད་_100_
[ཟེར་_100_],ཟེར་_100_,ཟེར་_100_,ཟེར་_100_
[ཅན་_100_],ཅན་_100_,ཅན་_100_,ཅན་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_
[རིན་_100_],རིན་_100_,རིན་_100_,རིན་_100_
[ཆེན་_100_],ཆེན་_100_,ཆེན་_100_,ཆེན་_100_
[འབྱུང་_100_],འབྱུང་_100_,འབྱུང་_100_,འབྱུང་_100_
[ལྡན་_100_],ལྡན་_100_,ལྡན་_100_,ལྡན་_100_
[ནོ_100_],ནོ_100_,ནོ_100_,ནོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[ཕག་_100_],ཕག་_100_,ཕག་_100_,ཕག་_100_
[མོ་_100_],མོ་_100_,མོ་_100_,མོ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_
[སྣང་_100_],སྣང་_100_,སྣང་_100_,སྣང་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_
[མཐའ་_100_],མཐའ་_100_,མཐའ་_100_,མཐའ་_100_
[ཡས་_100_],ཡས་_100_,ཡས་_100_,ཡས་_100_
[སོ_100_],སོ_100_,སོ_100_,སོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[རལ་_100_],རལ་_100_,རལ་_100_,རལ་_100_
[གཅིག་_100_],གཅིག་_100_,གཅིག་_100_,གཅིག་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_
[མི་_100_],མི་_100_,མི་_100_,མི་_100_
[བསྐྱོད་_100_],བསྐྱོད་_100_,བསྐྱོད་_100_,བསྐྱོད་_100_
[པས་_100_],པས་_100_,པས་_100_,པས་_100_
[དབུ་_100_],དབུ་_100_,དབུ་_100_,དབུ་_100_
[བརྒྱན་_100_],བརྒྱན་_100_,བརྒྱན་_100_,བརྒྱན་_100_
[ནོ_100_],ནོ_100_,ནོ_100_,ནོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[དེ་_100_],དེ་_100_,དེ་_100_,དེ་_100_
[ནས་_100_],ནས་_100_,ནས་_100_,ནས་_100_
[སྐུ་_100_],སྐུ་_100_,སྐུ་_100_,སྐུ་_100_
[གསུང་_100_],གསུང་_100_,གསུང་_100_,གསུང་_100_
[ཐུགས་_100_],ཐུགས་_100_,ཐུགས་_100_,ཐུགས་_100_
[བྱིན་_100_],བྱིན་_100_,བྱིན་_100_,བྱིན་_100_
[གྱིས་_100_],གྱིས་_100_,གྱིས་_100_,གྱིས་_100_
[བརླབ་_100_],བརླབ་_100_,བརླབ་_100_,བརླབ་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_
[སྤྱི་_100_],སྤྱི་_100_,སྤྱི་_100_,སྤྱི་_100_
[བོར་_100_],བོར་_100_,བོར་_100_,བོར་_100_
[ཟླ་_100_],ཟླ་_100_,ཟླ་_100_,ཟླ་_100_
[བའི་_100_],བའི་_100_,བའི་_100_,བའི་_100_
[དཀྱིལ་_100_],དཀྱིལ་_100_,དཀྱིལ་_100_,དཀྱིལ་_100_
[འཁོར་_100_],འཁོར་_100_,འཁོར་_100_,འཁོར་_100_
[གྱི་_100_],གྱི་_100_,གྱི་_100_,གྱི་_100_
[སྟེང་_100_],སྟེང་_100_,སྟེང་_100_,སྟེང་_100_
[དུ་_100_],དུ་_100_,དུ་_100_,དུ་_100_
[ཨོཾ་_100_],ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_
[དཀར་_100_],དཀར་_100_,དཀར་_100_,དཀར་_100_
[པོ_100_],པོ_100_,པོ_100_,པོ_100_
[། _100_],། _100_,། _100_,། _100_
[མགྲིན་_100_],མགྲིན་_100_,མགྲིན་_100_,མགྲིན་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_
[པདྨ་_100_],པདྨ་_100_,པདྨ་_100_,པདྨ་_100_
[དམར་_100_],དམར་_100_,དམར་_100_,དམར་_100_
[པོའི་_100_],པོའི་_100_,པོའི་_100_,པོའི་_100_
[སྟེང་_100_],སྟེང་_100_,སྟེང་_100_,སྟེང་_100_
[དུ་_100_],དུ་_100_,དུ་_100_,དུ་_100_
[ཨཱཿདམར་_75_],ཨཱཿདྨར་_25_,ཨཱཿདམར་_75_,ཨཱཿདམར་_75_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_
[ཐུགས་_100_],ཐུགས་_100_,ཐུགས་_100_,ཐུགས་_100_
[ཀར་_100_],ཀར་_100_,ཀར་_100_,ཀར་_100_
[ཉི་_100_],ཉི་_100_,ཉི་_100_,ཉི་_100_
[མའི་_100_],མའི་_100_,མའི་_100_,མའི་_100_
[དཀྱིལ་_100_],དཀྱིལ་_100_,དཀྱིལ་_100_,དཀྱིལ་_100_
[འཁོར་_100_],འཁོར་_100_,འཁོར་_100_,འཁོར་_100_
[གྱི་_100_],གྱི་_100_,གྱི་_100_,གྱི་_100_
[སྟེང་_100_],སྟེང་_100_,སྟེང་_100_,སྟེང་_100_
[དུ་_100_],དུ་_100_,དུ་_100_,དུ་_100_
[ཧཱུཾ་_100_],ཧཱུཾ་_100_,ཧཱུཾ་_100_,ཧཱུཾ་_100_
[ནག་_100_],ནག་_100_,ནག་_100_,ནག་_100_
[པོ_100_],པོ_100_,པོ_100_,པོ_100_
[། _100_],། _100_,། _100_,། _100_
[དེ་_100_],དེ་_100_,དེ་_100_,དེ་_100_
[ནས་_100_],ནས་_100_,ནས་_100_,ནས་_100_
[གཙོ་_100_],གཙོ་_100_,གཙོ་_100_,གཙོ་_100_
[མོ་_100_],མོ་_100_,མོ་_100_,མོ་_100_
[ཉིད་_100_],ཉིད་_100_,ཉིད་_100_,ཉིད་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_
[བྱིན་_100_],བྱིན་_100_,བྱིན་_100_,བྱིན་_100_
[གྱིས་_100_],གྱིས་_100_,གྱིས་_100_,གྱིས་_100_
[བརླབ་_100_],བརླབ་_100_,བརླབ་_100_,བརླབ་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_
[བྱའོ_100_],བྱའོ_100_,བྱའོ_100_,བྱའོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[འཁོར་_100_],འཁོར་_100_,འཁོར་_100_,འཁོར་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_
[མི་_100_],མི་_100_,མི་_100_,མི་_100_
[དགོས་_100_],དགོས་_100_,དགོས་_100_,དགོས་_100_
[སོ_100_],སོ_100_,སོ_100_,སོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[དེ་_100_],དེ་_100_,དེ་_100_,དེ་_100_
[ནས་_100_],ནས་_100_,ནས་_100_,ནས་_100_
[གནས་_100_],གནས་_100_,གནས་_100_,གནས་_100_
[རྣམ་_100_],རྣམ་_100_,རྣམ་_100_,རྣམ་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[བརྒྱད་_100_],བརྒྱད་_100_,བརྒྱད་_100_,བརྒྱད་_100_
[དུ་_100_],དུ་_100_,དུ་_100_,དུ་_100_
[ཕྱག་_100_],ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_
[རྒྱ་_100_],རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_
[བཅིང་_100_],བཅིང་_100_,བཅིང་_100_,བཅིང་_100_
[བར་_100_],བར་_100_,བར་_100_,བར་_100_
[བྱ་_100_],བྱ་_100_,བྱ་_100_,བྱ་_100_
[སྟེ_100_],སྟེ_100_,སྟེ_100_,སྟེ_100_
[། _100_],། _100_,། _100_,། _100_
[གནས་_100_],གནས་_100_,གནས་_100_,གནས་_100_
[བརྒྱད་_75_],བརྒྱན་_25_,བརྒྱད་_75_,བརྒྱད་_75_
[ན་_100_],ན་_100_,ན་_100_,ན་_100_
[ཟླ་_100_],ཟླ་_100_,ཟླ་_100_,ཟླ་_100_
[བའི་_100_],བའི་_100_,བའི་_100_,བའི་_100_
[དཀྱིལ་_100_],དཀྱིལ་_100_,དཀྱིལ་_100_,དཀྱིལ་_100_
[འཁོར་_100_],འཁོར་_100_,འཁོར་_100_,འཁོར་_100_
[བརྒྱད་_100_],བརྒྱད་_100_,བརྒྱད་_100_,བརྒྱད་_100_
[ཡོད་_100_],ཡོད་_100_,ཡོད་_100_,ཡོད་_100_
[པའོ_100_],པའོ_100_,པའོ_100_,པའོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[དེའི་_100_],དེའི་_100_,དེའི་_100_,དེའི་_100_
[སྟེང་_100_],སྟེང་_100_,སྟེང་_100_,སྟེང་_100_
[ན་_100_],ན་_100_,ན་_100_,ན་_100_
[ཡི་_100_],ཡི་_100_,ཡི་_100_,ཡི་_100_
[གེ་_100_],གེ་_100_,གེ་_100_,གེ་_100_
[བརྒྱད་_100_],བརྒྱད་_100_,བརྒྱད་_100_,བརྒྱད་_100_
[ཡོད་_100_],ཡོད་_100_,ཡོད་_100_,ཡོད་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_
[ཁ་_100_],ཁ་_100_,ཁ་_100_,ཁ་_100_
[དོག་_100_],དོག་_100_,དོག་_100_,དོག་_100_
[དཀར་_100_],དཀར་_100_,དཀར་_100_,དཀར་_100_
[པོའོ_100_],པོའོ_100_,པོའོ_100_,པོའོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[ལག་_100_],ལག་_100_,ལག་_100_,ལག་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[གཉིས་_100_],གཉིས་_100_,གཉིས་_100_,གཉིས་_100_
[ཁུ་_100_],ཁུ་_100_,ཁུ་_100_,ཁུ་_100_
[ཚུར་_100_],ཚུར་_100_,ཚུར་_100_,ཚུར་_100_
[བཅིངས་_100_],བཅིངས་_100_,བཅིངས་_100_,བཅིངས་_100_
[ཏེ_100_],ཏེ_100_,ཏེ_100_,ཏེ_100_
[། _100_],། _100_,། _100_,། _100_
[མཐེ་_100_],མཐེ་_100_,མཐེ་_100_,མཐེ་_100_
[བོ་_100_],བོ་_100_,བོ་_100_,བོ་_100_
[གཉིས་_100_],གཉིས་_100_,གཉིས་_100_,གཉིས་_100_
[མཛུབ་_100_],མཛུབ་_100_,མཛུབ་_100_,མཛུབ་_100_
[མོའི་_100_],མོའི་_100_,མོའི་_100_,མོའི་_100_
[སྟེང་_100_],སྟེང་_100_,སྟེང་_100_,སྟེང་_100_
[དུ་_100_],དུ་_100_,དུ་_100_,དུ་_100_
[བཞག་_100_],བཞག་_100_,བཞག་_100_,བཞག་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_
[སྤྱི་_100_],སྤྱི་_100_,སྤྱི་_100_,སྤྱི་_100_
[བོར་_100_],བོར་_100_,བོར་_100_,བོར་_100_
[གཏུགས་_100_],གཏུགས་_100_,གཏུགས་_100_,གཏུགས་_100_
[ཏེ་_100_],ཏེ་_100_,ཏེ་_100_,ཏེ་_100_
[ཨོཾ་_100_],ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_
[སྭཱ་_100_],སྭཱ་_100_,སྭཱ་_100_,སྭཱ་_100_
[ཧཱ་_100_],ཧཱ་_100_,ཧཱ་_100_,ཧཱ་_100_
[ཞེས་_100_],ཞེས་_100_,ཞེས་_100_,ཞེས་_100_
[བརྗོད་_100_],བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_
[སྤྱི་_100_],སྤྱི་_100_,སྤྱི་_100_,སྤྱི་_100_
[བོའི་_100_],བོའི་_100_,བོའི་_100_,བོའི་_100_
[ཕྱག་_100_],ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_
[རྒྱའོ_100_],རྒྱའོ_100_,རྒྱའོ_100_,རྒྱའོ_100_
[། །​_50_],། །​ ༄། །​_25_,། །​ _25_,། །​_50_
[ཁུ་_100_],ཁུ་_100_,ཁུ་_100_,ཁུ་_100_
[ཚུར་_100_],ཚུར་_100_,ཚུར་_100_,ཚུར་_100_
